LINE_SEGMENT,TRACK_NUMBER,BEG MP,GRADE_TO_NEXT
1,1,79.16,-0.22
1,1,79.26,-0.05
1,1,79.35,0.36
1,1,79.47,0.3
1,1,79.48,0.4
1,1,79.58,0.43
1,1,79.75,0.39
1,1,79.82,0.32
1,1,79.9,0.18
1,1,80.18,0.18
1,1,80.36,0.05
1,1,80.45,0.01
1,1,80.83,-0.09
1,1,80.87,0
1,1,81.02,0.04
1,1,81.06,0
1,1,81.13,0.01
1,1,81.36,0.21
1,1,81.49,0.29
1,1,81.53,0.4
1,1,81.55,0.26
1,1,81.66,0.02
1,1,81.81,0.04
1,1,81.93,-0.03
1,1,82.02,-0.04
1,1,82.12,0.04
1,1,82.19,0.06
1,1,82.31,0.16
1,1,82.36,0.42
1,1,82.51,0.23
1,1,82.57,0.02
1,1,82.67,-0.06
1,1,82.78,-0.02
1,1,82.99,-0.43
1,1,83.04,-0.37
1,1,83.14,0
1,1,83.2,-0.27
1,1,83.27,-0.37
1,1,83.33,-0.29
1,1,83.38,0
1,1,83.42,0.01
1,1,83.52,-0.14
1,1,83.61,0.13
1,1,83.71,0.24
1,1,83.84,0.02
1,1,84.16,0.18
1,1,84.35,0.03
1,1,84.47,-0.04
1,1,84.56,0.19
1,1,84.71,-0.04
1,1,84.84,-0.07
1,1,84.92,-0.01
1,1,85.03,-0.31
1,1,85.2,-0.09
1,1,85.22,-0.03
1,1,85.28,0.23
1,1,85.34,0.24
1,1,85.41,0.15
1,1,85.54,0.1
1,1,85.56,0.29
1,1,85.68,0.19
1,1,85.72,0.27
1,1,85.79,0.2
1,1,85.81,0.34
1,1,85.88,0.27
1,1,85.98,0.05
1,1,86.05,-0.19
1,1,86.17,-0.2
1,1,86.26,-0.13
1,1,86.32,-0.14
1,1,86.36,-0.26
1,1,86.45,-0.33
1,1,86.51,-0.37
1,1,86.58,-0.05
1,1,86.7,0.19
1,1,86.74,0.27
1,1,86.81,0.11
1,1,86.92,-0.14
1,1,87,0.1
1,1,87.23,0.35
1,1,87.27,0.29
1,1,87.31,0.2
1,1,87.34,0
1,1,87.38,-0.13
1,1,87.5,-0.29
1,1,87.53,-0.39
1,1,87.61,-0.45
1,1,87.68,-0.19
1,1,87.78,-0.22
1,1,87.86,-0.63
1,1,87.91,-0.45
1,1,87.95,-0.15
1,1,88.02,-0.09
1,1,88.08,-0.04
1,1,88.12,0.24
1,1,88.16,0.03
1,1,88.25,-0.17
1,1,88.38,-0.27
1,1,88.48,-0.29
1,1,88.54,-0.18
1,1,88.63,-0.09
1,1,88.71,-0.19
1,1,88.76,0.01
1,1,88.92,-0.19
1,1,88.97,-0.1
1,1,89.01,-0.19
1,1,89.05,0.07
1,1,89.12,0.06
1,1,89.27,-0.14
1,1,89.39,-0.33
1,1,89.45,0.07
1,1,89.58,0.43
1,1,89.67,0.79
1,1,89.73,0.6
1,1,89.77,0.79
1,1,89.82,0.96
1,1,89.86,0.96
1,1,89.92,0.8
1,1,89.96,0.59
1,1,90.01,0.52
1,1,90.15,0.36
1,1,90.24,-0.27
1,1,90.34,-0.29
1,1,90.41,-0.3
1,1,90.47,-0.09
1,1,90.52,0.19
1,1,90.58,0.09
1,1,90.6,0.24
1,1,90.68,0.24
1,1,90.72,0.2
1,1,90.73,0.24
1,1,90.77,0.16
1,1,90.83,0.09
1,1,90.87,-0.03
1,1,90.98,0.12
1,1,91.17,0.15
1,1,91.21,0.24
1,1,91.28,0.22
1,1,91.36,0.04
1,1,91.4,0.22
1,1,91.47,-0.04
1,1,91.55,0.55
1,1,91.59,0.17
1,1,91.66,0.25
1,1,91.74,0.03
1,1,91.85,0.07
1,1,92.08,0.59
1,1,92.23,0.92
1,1,92.31,0.81
1,1,92.36,0.79
1,1,92.42,0.58
1,1,92.59,0.35
1,1,92.67,-0.09
1,1,92.74,-0.43
1,1,92.8,-0.52
1,1,92.87,-0.6
1,1,92.97,-0.76
1,1,93.02,-0.19
1,1,93.04,-0.7
1,1,93.06,-0.2
1,1,93.37,-0.3
1,1,93.38,-0.18
1,1,93.56,-0.48
1,1,93.67,0.3
1,1,93.71,-0.17
1,1,93.8,-0.19
1,1,93.84,-0.22
1,1,93.93,-0.15
1,1,94.03,-0.43
1,1,94.09,-0.69
1,1,94.16,-0.8
1,1,94.18,-0.6
1,1,94.31,-0.59
1,1,94.35,-0.61
1,1,94.5,-0.72
1,1,94.62,-0.49
1,1,94.67,-0.25
1,1,94.71,0.04
1,1,94.88,-0.09
1,1,94.92,0.03
1,1,95.01,0.01
1,1,95.13,0.08
1,1,95.22,0
1,1,95.26,0
1,1,95.32,-0.18
1,1,95.47,-0.47
1,1,95.56,-0.79
1,1,95.6,-0.55
1,1,95.64,-0.29
1,1,95.68,-0.26
1,1,95.73,0
1,1,95.83,0.14
1,1,95.9,0.3
1,1,95.92,0.49
1,1,96.02,0.4
1,1,96.06,0.03
1,1,96.15,-0.37
1,1,96.21,-0.86
1,1,96.26,-0.99
1,1,96.3,-0.68
1,1,96.38,-0.74
1,1,96.49,-0.57
1,1,96.56,-0.49
1,1,96.62,-0.4
1,1,96.66,-0.18
1,1,96.77,-0.1
1,1,96.85,-0.03
1,1,96.96,-0.3
1,1,97.02,-0.73
1,1,97.15,-0.74
1,1,97.34,-0.62
1,1,97.53,-0.79
1,1,97.61,-0.8
1,1,97.84,0.69
1,1,98.14,0.7
1,1,98.23,0.43
1,1,98.29,0.18
1,1,98.38,-0.05
1,1,98.48,-0.03
1,1,98.67,-0.1
1,1,98.74,0.08
1,1,98.86,0.42
1,1,98.87,0.03
1,1,98.97,-0.09
1,1,98.99,-0.26
1,1,99.05,-0.47
1,1,99.24,-0.52
1,1,99.43,0
1,1,99.52,0.61
1,1,99.71,0.53
1,1,99.92,0.53
1,1,100.07,0.26
1,1,100.22,0.41
1,1,100.85,0.19
1,1,100.9,0.12
1,1,101.13,0.03
1,1,101.36,-0.06
1,1,101.51,0.07
1,1,101.7,-0.04
1,1,101.89,0.09
1,1,101.91,-0.07
1,1,102.12,0.18
1,1,102.27,-0.07
1,1,102.34,0.04
1,1,102.46,-0.04
1,1,102.87,-0.22
1,1,103.02,-0.43
1,1,103.22,-0.35
1,1,103.33,-0.39
1,1,103.4,-0.38
1,1,103.78,-0.41
1,1,103.97,-0.41
1,1,104.07,-0.59
1,1,104.11,-0.35
1,1,104.22,-0.26
1,1,104.45,-0.37
1,1,104.67,-0.36
1,1,104.92,-0.42
1,1,105.15,-0.39
1,1,105.39,-0.2
1,1,105.68,-0.05
1,1,105.98,-0.36
1,1,106.51,-0.01
1,1,106.76,0.31
1,1,106.97,0.45
1,1,107.08,0.23
1,1,107.23,0.1
1,1,107.27,-0.15
1,1,107.38,-0.05
1,1,108.33,0.07
1,1,108.4,-0.05
1,1,109.27,0.01
1,1,109.47,-0.18
1,1,109.63,-0.49
1,1,109.71,-0.45
1,1,109.92,-0.55
1,1,110.15,-0.37
1,1,110.2,0.01
1,1,110.41,0.27
1,1,110.58,0.46
1,1,110.79,0.06
1,1,110.98,-0.6
1,1,111.13,-0.34
1,1,111.51,-0.14
1,1,111.97,0.04
1,1,112.15,0.2
1,1,112.2,0.15
1,1,112.21,-0.58
1,1,112.3,0
1,1,112.31,-0.01
1,1,112.63,0.2
1,1,112.68,0.52
1,1,112.87,0.77
1,1,113.44,0.58
1,1,113.65,0.29
1,1,113.69,0.84
1,1,113.76,0.52
1,1,113.93,1.07
1,1,114.01,0.8
1,1,114.39,0.56
1,1,114.58,0.72
1,1,114.98,0.82
1,1,115.34,0.57
1,1,115.47,0.26
1,1,115.52,-0.13
1,1,115.83,0.51
1,1,115.94,0.8
1,1,116.09,0.92
1,1,116.28,0.57
1,1,116.36,0.13
1,1,116.47,0.09
1,1,116.77,0.03
1,1,117.04,-0.63
1,1,117.42,-0.41
1,1,117.99,-0.32
1,1,118.18,-0.51
1,1,118.37,-0.24
1,1,118.56,0.01
1,1,119.2,0.28
1,1,119.35,0.39
1,1,119.45,0.77
1,1,119.65,0.8
1,1,119.69,0.7
1,1,119.71,0.63
1,1,119.86,0.88
1,1,120,0.29
1,1,120.05,0.79
1,1,120.24,0.61
1,1,120.58,0.79
1,1,120.75,0.5
1,1,120.83,0.09
1,1,120.92,-0.19
1,1,121.21,-0.13
1,1,121.4,0.24
1,1,121.53,0.6
1,1,121.59,0.81
1,1,121.83,0.65
1,1,122.02,0.3
1,1,122.08,0.36
1,1,122.13,0.15
1,1,122.44,0.49
1,1,122.53,0.72
1,1,122.84,0.58
1,1,123.02,0.08
1,1,123.14,-0.49
1,1,123.18,-0.29
1,1,123.22,-0.28
1,1,123.35,-0.26
1,1,123.59,0.03
1,1,123.71,-0.09
1,1,123.75,0.02
1,1,124.18,-0.26
1,1,124.33,-0.48
1,1,124.77,-0.87
1,1,124.88,-0.39
1,1,124.96,0
1,1,125,0.26
1,1,125.2,0.46
1,1,125.26,0.25
1,1,125.43,0.34
1,1,125.56,0.03
1,1,126.32,-0.04
1,1,126.49,0.41
1,1,126.76,-0.03
1,1,126.81,1.5
1,1,126.83,0.33
1,1,126.89,0.01
1,1,126.98,-0.22
1,1,127.08,-0.42
1,1,127.29,-0.16
1,1,127.34,0.06
1,1,127.59,0.29
1,1,127.78,0.05
1,1,127.91,-0.06
1,1,128.02,-9.90E-03
1,1,128.22,0.03
1,1,128.59,0.04
1,1,128.67,0.43
1,1,128.73,0.78
1,1,128.88,0.63
1,1,128.99,0.37
1,1,129.09,-0.04
1,1,129.12,-0.46
1,1,129.48,0.03
1,1,129.54,0.37
1,1,129.63,0.49
1,1,129.71,0.28
1,1,129.88,0.11
1,1,130.09,-0.02
1,1,130.3,0.19
1,1,130.37,0.19
1,1,130.41,0.23
1,1,130.47,0.34
1,1,130.51,0.46
1,1,130.56,0.68
1,1,130.87,0.6
1,1,131.04,0.18
1,1,131.15,0
1,1,131.21,0.14
1,1,131.36,0.5
1,1,131.38,0.3
1,1,131.42,0.51
1,1,131.51,0.56
1,1,131.57,0.6
1,1,131.83,0.41
1,1,131.93,-0.01
1,1,132.04,-0.29
1,1,132.29,0.06
1,1,132.38,0.21
1,1,132.67,0.03
1,1,132.72,-0.36
1,1,132.95,-0.38
1,1,133.14,-0.38
1,1,133.52,-0.39
1,1,133.92,0.09
1,1,133.99,0.28
1,1,134.2,0.1
1,1,134.26,-0.43
1,1,134.35,-0.25
1,1,134.54,0.09
1,1,134.67,0.37
1,1,134.86,0.16
1,1,134.98,-0.03
1,1,135.2,-0.11
1,1,135.32,0.11
1,1,135.41,-0.04
1,1,135.73,-0.12
1,1,135.92,-0.42
1,1,136.15,-0.83
1,1,136.3,-0.62
1,1,136.38,-0.84
1,1,136.43,-0.47
1,1,136.59,-0.92
1,1,136.74,-0.57
1,1,136.83,-0.75
1,1,137.12,-0.3
1,1,137.31,0
1,1,137.38,0.23
1,1,137.44,0.47
1,1,137.53,0.81
1,1,137.68,0.69
1,1,138.06,0.78
1,1,138.23,0.68
1,1,138.34,0.34
1,1,138.44,0.06
1,1,138.5,-0.18
1,1,138.61,-0.31
1,1,138.76,0.16
1,1,138.88,0.32
1,1,139.01,0.61
1,1,139.33,0.02
1,1,139.54,-0.25
1,1,139.58,-0.41
1,1,140.14,-0.38
1,1,140.71,-0.45
1,1,140.9,-0.36
1,1,141.28,-0.42
1,1,141.66,-0.38
1,1,142.04,-0.75
1,1,142.08,-0.33
1,1,142.17,-0.13
1,1,142.23,0
1,1,142.31,0.13
1,1,142.5,0.33
1,1,142.59,0.19
1,1,142.65,-0.07
1,1,142.99,-0.14
1,1,143.14,-0.34
1,1,143.22,-0.47
1,1,143.4,-0.36
1,1,143.57,-0.48
1,1,143.69,-0.29
1,1,143.76,-0.03
1,1,143.88,0.07
1,1,143.95,-0.04
1,1,144.12,-0.15
1,1,144.31,-0.19
1,1,144.41,-7.60E-03
1,1,144.65,-0.11
1,1,144.84,-0.22
1,1,144.92,-0.56
1,1,145.18,-0.57
1,1,145.28,-0.64
1,1,145.45,-0.47
1,1,145.52,-0.26
1,1,145.58,-0.09
1,1,145.87,-0.3
1,1,146.13,0
1,1,146.21,0.31
1,1,146.3,0.44
1,1,146.43,0.79
1,1,146.47,0.39
1,1,146.57,-9.10E-03
1,1,146.77,-0.24
1,1,146.93,-0.37
1,1,147,-0.37
1,1,147.06,-0.39
1,1,147.13,-0.19
1,1,147.29,0
1,1,147.32,0.3
1,1,147.38,0.62
1,1,147.53,0.87
1,1,147.61,0.71
1,1,147.91,0.82
1,1,148.01,0.65
1,1,148.1,0.49
1,1,148.31,0.04
1,1,148.48,0
1,1,148.63,-0.23
1,1,148.73,-0.32
1,1,148.86,-0.36
1,1,149.05,-0.19
1,1,149.24,-0.24
1,1,149.31,-0.11
1,1,149.43,0.29
1,1,149.48,0.64
1,1,149.62,0.65
1,1,149.86,0.66
1,1,150.09,0.71
1,1,150.28,0.56
1,1,150.41,-1.03
1,1,150.49,2.05
1,1,150.54,0.3
1,1,150.58,0.47
1,1,150.68,0.29
1,1,150.75,0.06
1,1,150.85,-0.01
1,1,150.94,-0.17
1,1,151.11,0
1,1,151.38,-0.38
1,1,151.51,-0.17
1,1,151.7,0.1
1,1,151.79,0.45
1,1,151.89,0.28
1,1,152.23,0.26
1,1,152.33,0.08
1,1,152.5,0.29
1,1,152.71,0.05
1,1,152.78,0
1,1,152.91,0.12
1,1,153.06,0.21
1,1,153.18,0.15
1,1,153.33,0.07
1,1,153.4,0.03
1,1,153.59,0.13
1,1,153.97,0.1
1,1,154.16,0.08
1,1,154.35,-0.17
1,1,154.48,-0.48
1,1,154.62,-0.14
1,1,154.69,0.21
1,1,154.82,0.66
1,1,155.15,-0.56
1,1,155.3,-0.13
1,1,155.49,0
1,1,155.52,-0.31
1,1,155.68,-0.19
1,1,155.96,0.19
1,1,156.06,0.55
1,1,156.25,0.45
1,1,156.43,0.25
1,1,156.53,-0.04
1,1,156.81,-0.13
1,1,157,-0.24
1,1,157.19,-0.32
1,1,157.46,-0.31
1,1,157.57,0.06
1,1,157.76,0.19
1,1,157.97,-0.19
1,1,158.52,-0.06
1,1,158.75,-0.38
1,1,158.99,-0.54
1,1,159.18,-0.64
1,1,159.37,-0.43
1,1,159.47,0.03
1,1,159.65,0.06
1,1,159.9,-0.15
1,1,160.03,-0.44
1,1,160.32,-0.51
1,1,160.49,-0.43
1,1,160.6,-0.3
1,1,160.79,-0.03
1,1,160.98,-0.09
1,1,161.17,0.01
1,1,161.55,0
1,1,161.79,-0.18
1,1,162.13,0.13
1,1,162.19,0.43
1,1,162.3,-0.07
1,1,162.43,0.13
1,1,162.64,-0.2
1,1,162.96,0
1,1,163.1,0.44
1,1,163.46,-0.27
1,1,163.93,-0.34
1,1,164.84,-0.76
1,1,165.08,0
1,1,165.1,0.57
1,0,165.48,0.66
1,0,165.76,-0.27
1,0,165.96,-0.05
1,0,166.13,-0.36
1,0,166.55,-0.75
1,0,166.93,-0.1
1,0,166.95,0.6
1,0,167.68,0.11
1,1,168.63,-0.01
1,1,169.58,-0.08
1,1,171,-0.07
1,1,171.52,-0.14
1,1,171.8,0
1,1,171.95,0.14
1,1,172.65,-0.03
1,1,173.09,-0.12
1,1,173.28,-0.33
1,1,173.47,-0.09
1,1,173.66,0
1,1,174.41,-0.29
1,1,174.79,-0.14
1,1,174.96,0.41
1,1,175.27,0.18
1,1,175.63,0.07
1,1,176.48,-0.11
1,1,176.84,-0.22
1,1,177.24,-0.35
1,1,177.44,0
1,1,177.63,0.19
1,1,177.96,0
1,1,178.29,0.23
1,1,178.47,0
1,1,178.54,-0.17
1,1,178.77,0.36
1,1,178.96,0.02
1,1,179.34,-0.18
1,1,179.85,0.13
1,1,179.9,0.43
1,1,180.26,-0.1
1,1,180.34,-0.27
1,1,180.47,0
1,1,180.66,0.09
1,1,181.12,0
1,1,182.18,0.22
1,1,182.37,-0.33
1,1,183.01,-0.09
1,1,183.7,0
1,1,184.05,-0.38
1,1,184.81,0
1,1,184.87,-0.52
1,1,185.91,-0.37
1,1,186.25,-0.39
1,1,186.79,-0.36
1,1,187.07,-0.4
1,1,187.3,-0.35
1,1,187.52,-0.4
1,1,187.79,-0.36
1,1,188.02,-0.4
1,1,188.24,-0.34
1,1,188.4,-0.22
1,1,188.47,-0.53
1,1,188.57,-0.4
1,1,188.96,-0.36
1,1,189.4,-0.38
1,1,189.7,0
1,1,190.16,-0.31
1,1,190.39,0
1,1,190.8,-0.3
1,1,191.2,-0.36
1,1,191.31,-0.41
1,1,191.71,-0.36
1,1,192.03,-0.4
1,1,192.39,-0.35
1,1,192.6,-0.18
1,1,193.04,-0.4
1,1,193.53,-0.34
1,1,193.64,-0.4
1,1,194.89,-0.35
1,1,195.78,-0.2
1,1,196.13,0.85
1,1,196.39,0.24
