LS,BMP,EMP,BegState,EndState,PASS SPEED,FREIGHT SPEED,TRACKS
1,190.67,205.58,"BIGGSVILLE, IL","BURLINGTON, IA",79,60,2
1,190.67,205.58,"BIGGSVILLE, IL","BURLINGTON, IA",79,60,2
1,190.67,205.58,"BIGGSVILLE, IL","BURLINGTON, IA",79,60,2
1,190.67,205.58,"BIGGSVILLE, IL","BURLINGTON, IA",79,60,2
1,190.67,205.58,"BIGGSVILLE, IL","BURLINGTON, IA",79,60,2
1,190.67,205.58,"BIGGSVILLE, IL","BURLINGTON, IA",79,60,2
1,190.67,205.58,"BIGGSVILLE, IL","BURLINGTON, IA",79,60,2
1,190.67,205.58,"BIGGSVILLE, IL","BURLINGTON, IA",79,60,2
1,190.67,205.58,"BIGGSVILLE, IL","BURLINGTON, IA",79,60,2
1,190.67,205.58,"BIGGSVILLE, IL","BURLINGTON, IA",79,60,2
1,190.67,205.58,"BIGGSVILLE, IL","BURLINGTON, IA",79,60,2
1,190.67,205.58,"BIGGSVILLE, IL","BURLINGTON, IA",79,60,2
1,190.67,205.58,"BIGGSVILLE, IL","BURLINGTON, IA",79,60,2
1,190.67,205.58,"BIGGSVILLE, IL","BURLINGTON, IA",79,60,2
1,205.58,209.47,"BURLINGTON, IA","W BURLINGTON, IA",79,50,2
1,205.58,209.47,"BURLINGTON, IA","W BURLINGTON, IA",79,50,2
1,205.58,209.47,"BURLINGTON, IA","W BURLINGTON, IA",79,50,2
1,205.58,209.47,"BURLINGTON, IA","W BURLINGTON, IA",79,50,2
1,209.47,212.27,"W BURLINGTON, IA","DAYMAN, IA",79,60,2
1,209.47,212.27,"W BURLINGTON, IA","DAYMAN, IA",79,60,2
1,209.47,212.27,"W BURLINGTON, IA","DAYMAN, IA",79,60,2
1,212.27,224.73,"DAYMAN, IA","NEW LONDON, IA",79,60,2
1,212.27,224.73,"DAYMAN, IA","NEW LONDON, IA",79,60,2
1,212.27,224.73,"DAYMAN, IA","NEW LONDON, IA",79,60,2
1,212.27,224.73,"DAYMAN, IA","NEW LONDON, IA",79,60,2
1,212.27,224.73,"DAYMAN, IA","NEW LONDON, IA",79,60,2
1,212.27,224.73,"DAYMAN, IA","NEW LONDON, IA",79,60,2
1,212.27,224.73,"DAYMAN, IA","NEW LONDON, IA",79,60,2
1,212.27,224.73,"DAYMAN, IA","NEW LONDON, IA",79,60,2
1,212.27,224.73,"DAYMAN, IA","NEW LONDON, IA",79,60,2
