,index,BEG MP,END MP,LENGTH (FT),GRADE_TO_NEXT,Curvature (degrees),SPEED
227,109,87.1005,87.2717,903.936,0.0,0.0,
228,110,87.2717,87.4238,803.088,0.25,0.0,
229,111,87.4238,87.4998,401.28,0.9,0.0,
230,112,87.4998,87.6711,904.464,1.27,0.0,
231,113,87.6711,87.7639,489.984,0.22,0.0,
232,114,87.7639,87.8398,400.752,0.75,0.0,
233,115,87.8398,87.9907,796.752,1.12,0.0,
234,116,87.9907,88.0463,293.568,0.5,0.0,
235,118,88.0,88.15,792.0,0.0,0.0,0.0
236,117,88.0463,88.087,214.896,0.0,0.0,
237,118,88.087,88.1403,281.424,-0.65,0.0,
238,119,88.1403,88.4781,1783.584,-0.91,0.0,
239,119,88.15,88.6,2376.0,0.0,2.916667,0.0
240,120,88.4781,88.649,902.352,-1.0,0.0,
241,120,88.6,88.64,211.2,0.0,0.0,0.0
242,121,88.64,88.93,1531.2,0.0,5.166667,0.0
243,121,88.649,88.8428,1023.264,-0.25,0.0,
244,122,88.8428,89.0175,922.416,-0.84,0.0,
245,122,88.93,89.25,1689.6,0.0,0.0,0.0
246,123,89.0175,89.3001,1492.128,-1.07,0.0,
247,123,89.27,89.33,316.8,0.0,4.0,0.0
248,124,89.3001,89.5859,1509.024,-0.94,0.0,
249,124,89.33,89.38,264.0,0.0,0.0,0.0
250,125,89.38,89.46,422.4,0.0,4.0,0.0
251,126,89.46,89.5,211.2,0.0,0.0,0.0
252,127,89.5,89.7,1056.0,0.0,6.0833333,0.0
253,125,89.5859,89.7766,1006.896,-1.15,0.0,
254,128,89.7,89.95,1320.0,0.0,0.0,0.0
255,126,89.7766,89.8669,476.784,-0.7,0.0,
256,127,89.8669,89.942,396.528,-0.5,0.0,
257,128,89.942,90.0381,507.408,0.1,0.0,
258,129,89.95,90.14,1003.2,0.0,4.0,0.0
259,129,90.0381,90.1152,407.088,0.0,0.0,
260,130,90.1152,90.209,495.264,-0.06,0.0,
261,130,90.14,90.3,844.8,0.0,0.0,0.0
262,131,90.209,90.2665,303.6,0.5,0.0,
263,132,90.2665,90.3601,494.208,1.17,0.0,
264,131,90.3,90.33,158.4,0.0,4.283333,0.0
265,132,90.33,91.11,4118.4,0.0,0.0,0.0
266,133,90.3601,90.5888,1207.536,1.58,0.0,
267,134,90.5888,90.7959,1093.488,1.45,0.0,
268,135,90.7959,90.8524,298.32,1.0,0.0,
269,136,90.8524,90.8932,215.424,0.0,0.0,
270,137,90.8932,90.949,294.624,-0.66,0.0,
271,138,90.949,91.0427,494.736,-1.3,0.0,
272,139,91.0427,91.1,302.544,0.5,0.0,
273,140,91.1,91.4042,1606.176,1.18,0.0,
274,133,91.11,91.2,475.2,0.0,3.0,0.0
275,134,91.2,91.88,3590.4,0.0,0.0,0.0
276,141,91.4042,91.4396,186.912,1.25,0.0,
277,142,91.4396,91.4976,306.24,0.0,0.0,
278,143,91.4976,91.6095,590.832,-0.6,0.0,
279,144,91.6095,91.6707,323.136,0.33,0.0,
280,145,91.6707,91.9117,1272.48,1.11,0.0,
281,135,91.88,92.0,633.6,0.0,3.0,0.0
282,146,91.9117,91.9899,412.896,0.0,0.0,
283,147,91.9899,92.0,53.328,-0.33,0.0,
